center_meal,r2_score,mape
59_2826,0.786808941050487,0.34647832053156596
59_2867,0.7825329402329654,0.6314526748696008
61_1062,0.49589945584135176,0.2379785180617001
61_1109,0.6818579777193194,0.2694333453801753
61_1525,0.5473519686395361,0.4505478487395974
61_1727,0.74442167576028,0.3350393068579471
61_1754,0.7270683618698748,0.42442883554482086
61_1778,0.3034463507030454,0.34947568263598777
61_1878,0.5604213458805514,0.28498851138331793
61_1885,0.6538486935332894,0.601086657884567
61_1962,0.611163046220794,0.40131308490218254
61_1971,0.7243050698052977,0.5600043815879548
61_1993,0.6636980518236991,0.1673863007479842
61_2290,0.8744010205362547,0.24921562947497158
61_2539,0.7323724280612298,0.24555100203461888
61_2640,0.6402412314615318,0.2185877128461712
61_2707,0.3891707348594019,0.23267715410048395
61_2760,0.2903958083641288,0.4680512951263583
61_2826,0.7182691958668576,0.3275825560684566
64_1062,0.40757955602298757,0.17971145595502275
64_1109,0.6250426494274859,0.30654406366641695
64_1525,0.5100568657770099,0.545105651037023
64_1727,0.8966573491716111,0.2976828647418085
64_1754,0.77249091269006,0.3751954050256475
64_1778,0.391082623858944,0.2560472251931749
64_1885,0.5003881370289618,0.17710228200338468
64_1962,0.5263713840244484,0.6082131405747692
64_1993,0.6164059562459905,0.2079131089900586
64_2290,0.8412830060995518,0.21899259449631997
64_2704,0.459556766786658,0.30232453295054224
64_2707,0.30414770622593656,0.24589590761857602
64_2760,0.3964091811608038,0.4010787449905102
64_2826,0.6650306480290896,0.2874320270601053
65_1062,0.2441488334941232,0.23334229558994754
65_1109,0.6587357063358885,0.2589783982217815
65_1207,0.521482918046478,0.4463035302815846
65_1230,0.5048072964200818,0.45220881205140917
65_1445,0.7466535031729982,0.5694067040285686
65_1727,0.8525097500000989,0.23290708879976327
65_1754,0.7367347651511078,0.23889346611131132
65_1778,0.40306387877989913,0.34110660686485633
65_1878,0.7009376331654299,0.18641318990237193
65_1885,0.5159443892151323,0.15290788523868618
65_1962,0.6956021378004662,0.2385431123375377
65_1971,0.7899235156711606,0.30459761690007214
65_1993,0.5190954811833242,0.17011140711793823
65_2290,0.8183024612625374,0.22253942248838285
65_2322,0.6675204134468244,0.3565471173179181
65_2539,0.7152708696845874,0.3509180252841854
65_2581,0.6680255298629387,0.41020741622374396
65_2640,0.7035885876691418,0.15345956160710159
65_2707,0.5782818194814598,0.2078731045592505
65_2826,0.6899763327273083,0.20901987124569205
66_1062,0.4372736904140091,0.17315567954652286
66_1109,0.6760526562719815,0.23597857177408119
66_1207,0.4104642415777737,0.40215798793495966
66_1230,0.22907039795196038,0.41420052030046633
66_1445,0.7527664224788517,0.5728522353706901
66_1558,0.6927890272398076,0.4368979505152294
66_1727,0.8184385346561556,0.3629208587709365
66_1754,0.551631304420155,0.3312099454933266
66_1778,0.45815977220867743,0.2856937533748245
66_1878,0.5989533145399613,0.1852775785666532
66_1885,0.5599880055148975,0.16258704401745674
66_1962,0.7197388337043724,0.3091463144821365
66_1971,0.6113274378246305,0.45835834398689157
66_1993,0.5717500143285499,0.18049570514993393
66_2290,0.8055197121717269,0.25649807944036385
66_2322,0.4325919720154672,0.35530688853013076
66_2539,0.6462112242127472,0.19129808284119998
66_2581,0.6726753163627543,0.3851127507424745
66_2640,0.6959790059951769,0.16189479443013313
66_2704,0.5364896079486783,0.3359409191296723
66_2707,0.45727411438860044,0.1846794782460191
66_2760,0.3417574365006054,0.3819956232763362
66_2826,0.5379714392137769,0.24239957614643157
67_1062,0.3606787747876029,0.21180669901142013
67_1109,0.7669295559640439,0.2581672811000397
67_1311,0.4909945079059477,0.22249976570922386
67_1445,0.7746285621036375,0.6547247217205248
67_1558,0.7097716592470611,0.6202081657461336
67_1727,0.8815278114520824,0.2939562434893809
67_1754,0.8027444198775162,0.4730412998822187
67_1778,0.3826934111897152,0.22597241062799925
67_1803,0.420555590125667,0.18337659697707792
67_1878,0.5814892602980322,0.3243125733203894
67_1885,0.5494855912727719,0.10612151583960859
67_1962,0.8123082948167886,0.27610698619699564
67_1971,0.7628693960802744,0.6739393355691987
67_1993,0.5789320797117814,0.14378915342947016
67_2290,0.8271172897460154,0.30260083312810354
67_2444,0.822423371013693,0.5506786459292873
67_2539,0.8018347155730319,0.22463010608349515
67_2577,0.44226224507589473,0.2283725759545537
67_2581,0.7069196844351049,0.4195843590161787
67_2640,0.7320457833262254,0.21738845064706974
67_2707,0.3906236759123646,0.21609708472850017
67_2760,0.5170882726744392,0.3052597699991736
67_2826,0.7899079242272938,0.21849822600268562
68_1062,0.2392349094668378,0.20439447917358186
68_1109,0.5899147090286136,0.2938339368813413
68_1207,0.37462115823668374,0.5599393678342123
68_1558,0.6318124228203543,0.542432685804888
68_1727,0.8404953173955014,0.3072500098206194
68_1754,0.6643978041872578,0.28690130544415887
68_1778,0.4347166478477189,0.32988309873534516
68_1878,0.618859225016545,0.2217065600216921
68_1962,0.6679143590367764,0.31766071694263437
68_1971,0.7164781344659314,0.3656804083479503
68_1993,0.5565619620565018,0.2094946343958637
68_2290,0.8361395030107884,0.24805719739183343
68_2577,0.2871422347724626,0.38667015070919214
68_2581,0.6516189683876609,0.34606519217163595
68_2640,0.6185280923480756,0.1998254898419778
68_2707,0.2616347781689303,0.2741045838298684
68_2760,0.4574750092561922,0.36402014087708034
68_2826,0.6649180083512746,0.22378395307415114
72_1062,0.31046610970912614,0.28740236707002276
72_1109,0.7839872589342618,0.2620667825250315
72_1727,0.8346826922177524,0.32077508762511314
72_1754,0.695519395035642,0.748689129070876
72_1778,0.41619714371280814,0.3576268472147488
72_1885,0.5196473811380713,0.22808988689586598
72_1962,0.6956549880178751,0.533149061981021
72_1971,0.8701418287187128,0.8060335659643623
72_1993,0.5156717234211323,0.25540348805021496
72_2290,0.7318594379674132,0.45688885510249133
72_2539,0.6942060256583011,0.35467491591833766
72_2707,0.45447897380374214,0.2935658618184365
72_2826,0.6947238932322177,0.278612233330117
73_1062,0.3787429202007322,0.2410648115450723
73_1109,0.6549514620295789,0.31718135272516557
73_1207,0.5253307486926851,0.3971504545736198
73_1727,0.771257379272898,0.41402054046194064
73_1754,0.6685674863809303,0.2943578412154787
73_1778,0.37960728491103923,0.4353097557404977
73_1885,0.6316990364081391,0.23766185824634778
73_1962,0.7375858068161167,0.39564237351132847
73_1971,0.7706019085885776,0.3222256452508263
73_1993,0.7141377405689331,0.2445012394260377
73_2290,0.7340953088719804,0.34450604343326324
73_2322,0.6110599486225886,0.4057024761191266
73_2539,0.49246261431219385,0.4424553798452654
73_2640,0.6902301068917809,0.27624948973958124
73_2707,0.21767658710020432,0.35000655812418163
74_1062,0.6353469360000554,0.2680728016689694
74_1109,0.5588581575981044,0.5854873038605732
74_1727,0.723689713103735,0.4506929021160195
74_1754,0.623794418424211,0.38985946295153023
74_1885,0.5438437350764093,0.37202189349288683
74_1962,0.608985431888994,0.3437697296860573
74_1971,0.6350002438187341,0.6690610732522668
74_1993,0.5941137310825735,0.29415398394772196
74_2290,0.8461479655264798,0.28028891189887667
74_2707,0.38338068412403736,0.2957335042684851
75_1062,0.276316213179878,0.20793613736995253
75_1109,0.6101662585823322,0.18374579227465615
75_1207,0.457519254182002,0.4463197485045488
75_1230,0.44027865193766313,0.3768332150497575
75_1248,0.6327409417825519,0.398020394350701
75_1727,0.8572036802310494,0.20674416303207302
75_1754,0.7014265095309711,0.2896536090167536
