center_meal,r2_score,mape,Error
11_1207,0.6601267475765951,0.6587922415840498,
11_1230,0.7035137675696045,0.5868865561932171,
11_2322,0.7078329101553368,0.4715920755018066,
11_2290,0.811897196164203,0.33482730633770713,
11_1727,0.8664713393712273,0.24990821512529204,
11_1109,0.8267449207060922,0.2300053903686162,
11_1571,0.38658051502447377,0.582793038944318,
11_2956,0.3124269380690178,0.5671096264656023,
11_2577,0.5322139236922363,0.45908158516458075,
11_2640,0.6546738593282028,0.3368227812594455,
11_1878,0.6624363654035041,0.5711160020231975,
11_2306,0.7858183222594393,0.5979612623191897,
11_1216,0.28022869378084514,0.6390962540394448,
11_2126,0.38592359611360016,0.6441827217443119,
11_2826,0.816750143435314,0.21993052049098089,
11_1754,0.831160828336477,0.5193059797225414,
11_1971,0.8375276131934858,0.6846798108216162,
11_1902,0.1381412908108588,0.5636830500310515,
11_1247,0.28197891838925326,0.4501020366031453,
11_1770,0.30396775831917167,0.4574773917948331,
11_1198,0.48071198554640204,0.22173258437245888,
11_1311,0.4369265636710997,0.2558361928341656,
11_1803,0.24409798164862262,0.22406961220053961,
11_1438,0.6784736545918844,0.3988857160045927,
11_2494,0.48722278402736263,0.4496784024555765,
11_1847,0.3721451697844904,0.5684324265756319,
11_1558,0.7166391785674315,0.6696782272298274,
11_2581,0.765334058597893,0.5757237516491067,
11_1962,0.7703832073569903,0.4166674384848965,
11_1445,0.7778006369063144,0.6209253590202443,
11_2444,0.8272958864378728,0.766448238638012,
11_2867,0.7901471143330302,0.7543180585691225,
11_2760,0.5553523088343326,0.4402754759941736,
11_1525,0.7029578769104872,0.3156100239859284,
11_2704,0.7292401728268627,0.36078339119448616,
11_2492,0.5746319899452648,0.4821166192558616,
11_1543,0.535062014531869,0.49143670925672617,
11_2304,0.4549385877077867,0.5806188177064767,
11_2664,0.6952316412830648,0.2149406757288477,
11_2569,0.7862831616425386,0.2717982073017547,
11_2490,0.8568589925319239,0.38246199031582434,
83_1885,0.61219995026331,0.17284180421469664,
83_1993,0.6562526265886566,0.1706759020959071,
83_2539,0.4085191759235116,0.3386982528005726,
83_2139,0.32412368896792254,0.6079081135322606,
83_2631,0.4844052782235707,0.7192744572603905,
83_1248,0.5260683414162324,0.7744828650973898,
83_1778,0.37003544824642687,0.27030710599275715,
83_1062,0.3300481913821677,0.17163853564625942,
83_2707,0.5241437586987366,0.20373706607216438,
83_1207,0.4180884451734177,0.3381270918636436,
83_1230,0.39977057319313314,0.27986671845980016,
83_2322,0.4358601744456817,0.3847229926096807,
83_2290,0.8163281762627197,0.26221958088350256,
83_1727,0.8363898815344434,0.20212968180576227,
83_1109,0.7312402201165669,0.2676797323342257,
83_1571,0.7713103183331336,0.615072274958543,
83_2956,0.6886330699577062,0.4941491982687676,
83_2104,0.7932812656275069,0.525888439918962,
83_2577,0.41800322318941907,0.4204413384416765,
83_2640,0.5953767341301286,0.2498805419248629,
83_1878,0.5699018844508279,0.367993381874531,
83_2306,0.6906257483897429,0.5663258866363066,
83_1216,0.3602729736973005,0.5552223553171018,
83_2126,0.27887364904473244,0.5204981999645223,
83_2826,0.728578440049083,0.2441207433993228,
83_1754,0.7612593272048105,0.3023325282075405,
83_1971,0.7921299750479474,0.42313229496695337,
83_1902,0.19389505284147768,0.47451758667381877,
83_1247,0.25522559392063926,0.5061342341951447,
83_1770,0.3191585296759457,0.3876991587290888,
83_1558,0.644381758676752,0.6561095976065546,
83_2581,0.7744742895325407,0.338043961691489,
83_1962,0.675184754033602,0.41120675048023325,
83_1445,0.7359776025179312,0.5572213425001297,
83_2867,0.6264866641178929,0.5677508225401987,
83_2760,0.4646845657069979,0.5815009083186008,
83_1525,0.5701017883850679,0.5137315451397073,
83_2704,0.6809753364063268,0.22276840519624605,
83_2492,0.711608655376073,0.48369063374719296,
83_1543,0.48217839385635486,0.5224665411779257,
83_2304,0.45620721317841284,0.6116017291818178,
83_2664,0.766616203241087,0.21619511586962778,
83_2569,0.7960689127826418,0.2846026273542189,
83_2490,0.7203823820204609,0.3330592342705026,
32_1885,0.5469617100162908,0.3065856536846611,
32_1993,0.5226114132935995,0.23887690150277419,
32_2539,0.6471896632344485,0.41713127540350387,
32_2139,0.32597892930518435,0.4907755778418494,
32_2631,0.4586668727182722,0.8000463786429727,
32_1778,0.3660643897818324,0.3158061171284134,
32_1062,0.3223284219104807,0.20682780332164055,
32_2707,0.38475663027995144,0.2116835215928559,
32_1207,0.32790804674027607,0.43393976136775525,
32_1230,0.3309593221770636,0.37373055372753927,
32_2322,0.35006051484205003,0.4363967290796775,
32_2290,0.8228645021019392,0.21343184229876766,
32_1727,0.8099416426707701,0.2523897871339921,
